254	0	-5.2	37	2.2
204	1	-5.5	38	0.8
173	2	-6	39	1
107	3	-6.2	40	0.9
78	4	-6	36	2.3
100	5	-6.4	37	1.5
181	6	-6.6	35	1.3
460	7	-7.4	38	0.9
930	8	-7.6	37	1.1
490	9	-6.5	27	0.5
339	10	-3.5	24	1.2
360	11	-0.5	21	1.3
449	12	1.7	23	1.4
451	13	2.4	25	1.6
447	14	3	26	2
463	15	2.1	36	3.2
484	16	1.2	54	4.2
555	17	0.8	58	1.6
862	18	0.6	66	1.4
600	19	0	77	1.7
426	20	-0.3	79	1.5
405	21	-0.8	81	0.8
398	22	-0.9	83	1.5
323	23	-1.3	84	1
328	0	-1.8	87	1.1
308	1	-2.2	86	0.6
262	2	-2.9	86	1.5
167	3	-3.5	81	2.2
89	4	-3.8	79	2
79	5	-4	79	1.5
70	6	-4.3	82	2.1
146	7	-4.4	81	2.5
219	8	-4.2	79	2.1
328	9	-2.9	68	1.6
334	10	-0.4	57	1.6
388	11	1.9	49	1.8
479	12	4.3	41	1.3
606	13	6	36	1.8
611	14	7.3	35	1.3
589	15	7.6	41	2.3
618	16	6.4	48	2.6
572	17	6	51	2.5
489	18	5.5	53	1.5
385	19	5	52	2.3
359	20	4.6	51	1.2
377	21	4.1	55	1.2
354	22	3.5	54	1.5
366	23	4	56	1
342	0	4	58	1.4
227	1	3.9	69	1.7
228	2	3.3	79	1.4
117	3	3.4	71	1.6
76	4	3.5	73	1
32	5	3.9	75	1.9
13	6	3.4	86	2.5
22	7	3.1	91	1.2
85	8	3.2	92	1.8
152	9	3.5	91	1.8
200	10	4.4	89	2.2
273	11	5.1	87	1.4
333	12	5.8	85	1.7
495	13	6.8	81	1.9
563	14	7.6	76	1.2
621	15	8	73	1.6
598	16	7.6	77	1.6
545	17	6.7	82	1.5
443	18	6	84	1.9
422	19	5.7	85	1.7
397	20	5.2	87	1.4
385	21	4.7	87	1.2
350	22	4.3	89	1.8
303	23	3.9	90	1.3
285	0	4.2	88	0.6
186	1	4.3	87	0.5
112	2	4.4	87	1.8
65	3	3.6	85	2.3
41	4	2.8	89	1.5
82	5	2	83	2.7
200	6	1.2	76	3.7
498	7	0.2	68	3.4
937	8	-0.8	69	3.5
509	9	-1.5	47	4.2
311	10	-1.1	40	4.5
379	11	-0.5	41	4.1
393	12	-0.3	38	4.8
391	13	0	30	5.4
338	14	0.1	27	4.5
341	15	-0.1	25	5.8
375	16	-0.2	23	4.7
515	17	-1.3	26	5.3
807	18	-2.1	29	3.9
568	19	-2.9	32	3.2
398	20	-3.6	38	3
397	21	-4.6	43	4.5
353	22	-5.3	45	2.5
248	23	-5.8	44	2.4
216	0	-6.1	42	2.6
198	1	-6.5	41	2.8
124	2	-6.8	41	2.5
62	3	-6.9	39	2
42	4	-7.2	34	3
82	5	-7.4	33	2.6
172	6	-7.4	34	3.2
381	7	-7.5	33	2.2
812	8	-8.1	36	1.6
462	9	-7.6	31	1.3
269	10	-5.5	26	2.8
334	11	-3.9	25	0
321	12	-2.3	25	0
325	13	-1.6	27	0
334	14	-1.1	28	0
353	15	-0.7	28	0
435	16	-0.5	30	0
529	17	-1.6	35	0
789	18	-2.6	40	0
597	19	-3.2	45	0
418	20	-3.5	46	0
415	21	-3.7	47	0
393	22	-2.8	49	0
244	23	-2.5	59	0
145	0	-2.8	77	0
144	1	-3	79	0
117	2	-3	79	0
78	3	-3.2	78	0
58	4	-3.4	75	0
87	5	-3.6	76	0
142	6	-3.7	76	0
379	7	-4.2	77	0
802	8	-4.2	78	0
440	9	-3.3	70	0
307	10	-0.9	64	0
381	11	1.6	57	1.2
405	12	2.4	52	0.9
442	13	4.2	47	1.1
416	14	5.5	34	1
412	15	5.5	31	3.1
496	16	5.3	37	2.9
239	17	4.1	60	2.5
204	18	1.7	90	1
205	19	1.2	92	0.7
190	20	1.2	94	0.6
165	21	1.1	92	0.5
222	22	1.3	92	0.6
193	23	1.3	92	0.6
198	0	1.4	92	0.5
218	1	1.5	92	0.4
149	2	1.4	92	0.7
102	3	1.9	91	1.4
62	4	1.6	92	0.7
83	5	1.5	92	1.1
137	6	1	93	0.5
367	7	0.3	93	0.5
754	8	-0.2	96	0.8
415	9	0.1	91	0.8
321	10	1.1	83	0.7
333	11	2.3	69	1.7
431	12	3.7	65	2.4
394	13	4.1	37	3.1
390	14	4.4	36	2.7
430	15	4	35	3.1
471	16	3.2	38	2.9
552	17	2.1	50	2
795	18	0.7	46	2.7
507	19	-0.4	47	2.5
390	20	-1.4	47	2.5
402	21	-2.2	46	2.2
389	22	-2.7	48	2.6
259	23	-3.2	50	2.1
233	0	-3.5	49	2.6
230	1	-3.7	50	2.5
